type x y yerrup yerrdown
pre 235.0 1.00764512371 0.00607434104072 0.00607434104072
post 235.0 0.997927306442 0.0060157595671 0.0060157595671
pre 310.0 1.05673225351 0.00996872903935 0.00996872903935
post 310.0 0.992585918496 0.00936360183657 0.00936360183657
pre 412.5 1.13818708193 0.0180915494392 0.0180915494392
post 412.5 1.01782871203 0.0161784461946 0.0161784461946
pre 737.5 1.26107516279 0.0411098759401 0.0411098759401
post 737.5 1.06005129505 0.0345566850537 0.0345566850537
unc 200.0 270.0 0.0114847560669 0.0114847560669
unc 270.0 350.0 0.0123148069531 0.0123148069531
unc 350.0 475.0 0.0168456000129 0.0168456000129
unc 475.0 1000.0 0.0303682219205 0.0303682219205
