type x y yerrup yerrdown
pre 235.0 1.03214890903 0.0242272454151 0.0242272454151
post 235.0 1.00114865903 0.0234995881379 0.0234995881379
pre 310.0 1.0584482462 0.037996078439 0.037996078439
post 310.0 0.998139770953 0.0358311303044 0.0358311303044
pre 412.5 1.01031398139 0.0605946065101 0.0605946065101
post 412.5 1.00172012499 0.0600791812499 0.0600791812499
pre 737.5 1.19292552246 0.119893529442 0.119893529442
post 737.5 0.988103388288 0.0993081298418 0.0993081298418
unc 200.0 270.0 0.0210861635347 0.0210861635347
unc 270.0 350.0 0.0367505241371 0.0367505241371
unc 350.0 475.0 0.0803589298209 0.0803589298209
unc 475.0 1000.0 0.169649925674 0.169649925674
