proc xmin xmax y yerr
qcd 200.0 270.0 0.0379075966775 0.021849691703
qcd 270.0 350.0 0.00679422402754 0.00391217200086
qcd 350.0 475.0 0.0347534157336 0.020036955903
qcd 475.0 1000.0 0.000604593544267 0.000347999207889
dibosons 200.0 270.0 1.18757176399 0.434537810407
dibosons 270.0 350.0 0.816687583923 0.298846857818
dibosons 350.0 475.0 0.292691677809 0.107172512197
dibosons 475.0 1000.0 0.0442536994815 0.0161973626394
zll 200.0 270.0 0.368477076292 0.020995719374
zll 270.0 350.0 0.10732293874 0.00633126710662
zll 350.0 475.0 0.0193540155888 0.0019808420072
zll 475.0 1000.0 0.00160702492576 0.000109028917889
stop 200.0 270.0 2.15049099922 0.55046668627
stop 270.0 350.0 0.757728397846 0.193963302592
stop 350.0 475.0 0.177529960871 0.0454430311423
stop 475.0 1000.0 0.00881765782833 0.00225661769214
wjets 200.0 270.0 10.1099681854 1.12184670925
wjets 270.0 350.0 4.54885578156 0.619067886845
wjets 350.0 475.0 1.11048662663 0.29905721024
wjets 475.0 1000.0 0.0963911190629 0.0402266633875
ttbar 200.0 270.0 12.0444068909 0.853712255668
ttbar 270.0 350.0 3.48068928719 0.447412277233
ttbar 350.0 475.0 0.585365235806 0.164936390378
ttbar 475.0 1000.0 0.0391677096486 0.032773617004
