proc xmin xmax y yerr
qcd 200.0 270.0 0.0633732005954 0.0636564528622
qcd 270.0 350.0 0.185931295156 0.186450833076
qcd 350.0 475.0 0.053102876991 0.0532343692315
qcd 475.0 1000.0 0.00740512739867 0.00740983953387
dibosons 200.0 270.0 0.69949889183 0.256358147107
dibosons 270.0 350.0 0.392936825752 0.144008106215
dibosons 350.0 475.0 0.239985212684 0.0879867570514
dibosons 475.0 1000.0 0.0363659821451 0.0133293452079
zll 200.0 270.0 0.109182134271 0.00752257031794
zll 270.0 350.0 0.0228953249753 0.0013061072774
zll 350.0 475.0 0.0210103057325 0.00129115877516
zll 475.0 1000.0 0.000927904970013 7.28248525395e-05
stop 200.0 270.0 1.11863410473 0.289847237702
stop 270.0 350.0 0.54214411974 0.140434169565
stop 350.0 475.0 0.127215355635 0.0329623117533
stop 475.0 1000.0 0.00929951202124 0.00240966246603
wjets 200.0 270.0 5.66283273697 0.689587672778
wjets 270.0 350.0 2.71806836128 0.423545187457
wjets 350.0 475.0 0.621742665768 0.193650983305
wjets 475.0 1000.0 0.0778913125396 0.0385157719391
ttbar 200.0 270.0 7.18018198013 0.492564940068
ttbar 270.0 350.0 2.17001867294 0.278695111537
ttbar 350.0 475.0 0.443697541952 0.121501148697
ttbar 475.0 1000.0 0.0411593168974 0.0309109992379
