type x y yerrup yerrdown
pre 235.0 1.26529493616 0.0290202209715 0.0290202209715
post 235.0 1.01130305302 0.0231947803071 0.0231947803071
pre 310.0 1.21146670441 0.0526227509425 0.0526227509425
post 310.0 0.995971706027 0.0432622463676 0.0432622463676
pre 450.0 1.3453548926 0.0937353195653 0.0937353195653
post 450.0 1.11284241793 0.0775354073812 0.0775354073812
pre 775.0 1.29706438465 0.225789936574 0.225789936574
post 775.0 0.873621031025 0.152077907249 0.152077907249
unc 200.0 270.0 0.021117778588 0.021117778588
unc 270.0 350.0 0.0340674667752 0.0340674667752
unc 350.0 550.0 0.0497228826374 0.0497228826374
unc 550.0 1000.0 0.105690524258 0.105690524258
