proc xmin xmax y yerr
dibosons 200.0 270.0 1.84442102909 0.716326054501
dibosons 270.0 350.0 0.899921119213 0.335287599235
dibosons 350.0 475.0 0.357092380524 0.15105009472
dibosons 475.0 1000.0 0.0266892462969 0.0121578925066
stop 200.0 270.0 0.0708071440458 0.022296838465
stop 270.0 350.0 0.0349652692676 0.0130597678457
stop 350.0 475.0 0.00645777583122 0.00289385700288
stop 475.0 1000.0 0.000283410132397 0.000215527779217
ttbar 200.0 270.0 0.443811655045 0.0609191255499
ttbar 270.0 350.0 0.148945942521 0.0259143097745
ttbar 350.0 475.0 0.0388183444738 0.00790998964958
ttbar 475.0 1000.0 0.00178396771662 0.000881785611856
zll 200.0 270.0 35.3769416809 0.886590970281
zll 270.0 350.0 15.6154870987 0.465956826989
zll 350.0 475.0 3.60194802284 0.133669995418
zll 475.0 1000.0 0.194781243801 0.00949689281464
