type x y yerrup yerrdown
pre 235.0 1.09945820349 0.0212181039567 0.0212181039567
post 235.0 1.01646074644 0.0196163616929 0.0196163616929
pre 310.0 1.06219943554 0.0296430969953 0.0296430969953
post 310.0 0.961116943165 0.026822159584 0.026822159584
pre 412.5 1.25655271681 0.0542748095047 0.0542748095047
post 412.5 1.07084449716 0.046253436338 0.046253436338
pre 737.5 1.27994495535 0.115408751036 0.115408751036
post 737.5 1.04808066889 0.0945022522061 0.0945022522061
unc 200.0 270.0 0.0168271940634 0.0168271940634
unc 270.0 350.0 0.0194092515641 0.0194092515641
unc 350.0 475.0 0.0270731018464 0.0270731018464
unc 475.0 1000.0 0.0422584131974 0.0422584131974
