type x y yerrup yerrdown
pre 235.0 1.0854685183 0.0806822378583 0.0806822378583
post 235.0 1.17347889517 0.087223997514 0.087223997514
pre 310.0 0.830083433986 0.114020724513 0.114020724513
post 310.0 1.01488751682 0.139405516638 0.139405516638
pre 412.5 0.863977266464 0.215994306357 0.215994306357
post 412.5 1.06878292264 0.267195717968 0.267195717968
pre 737.5 1.98011497663 0.748413095517 0.748413095517
post 737.5 1.25274195064 0.473491939726 0.473491939726
unc 200.0 270.0 0.0615176619808 0.0615176619808
unc 270.0 350.0 0.0974702262437 0.0974702262437
unc 350.0 475.0 0.195564211407 0.195564211407
unc 475.0 1000.0 0.425091611283 0.425091611283
